
Proba Proba 6 - 50 Meters freestyle

Seria 1
Culoar;1;;;;00:00:00
Culoar;2;;;;00:00:00
Culoar;3;Bulina Daciana;Moldova;55 - 59;00:41:50
Culoar;4;Ana Burlacu;Romania;30 - 34;00:40:50
Culoar;5;Irina Zaytsev;Russia;30 - 34;00:40:50
Culoar;6;;;;00:00:00
Culoar;7;;;;00:00:00
Culoar;8;;;;00:00:00

Seria 2
Culoar;1;Gwen Black;England;40 - 44;00:38:50
Culoar;2;Iacoba Faur;Romania;25 - 29;00:37:50
Culoar;3;Maria Miulescu;Romania;30 - 34;00:36:50
Culoar;4;Dana Amant;France;35 - 39;00:35:50
Culoar;5;Cassiana Ruset;Romania;25 - 29;00:36:50
Culoar;6;Jenny Mesesan;Romania;40 - 44;00:36:50
Culoar;7;Cristina-Ionela Talianu;Romania;30 - 34;00:38:50
Culoar;8;Ionana Bon Ton;Moldova;55 - 59;00:39:50

Seria 3
Culoar;1;Gheorgeta Fana Buna;Moldova;55 - 59;00:34:50
Culoar;2;Francesca Labille;France;35 - 39;00:34:50
Culoar;3;Iacob Faur;Romania;25 - 29;00:33:00
Culoar;4;Marius Mititelu;Romania;25 - 29;00:33:00
Culoar;5;Cassian Vânatoru;Romania;25 - 29;00:33:00
Culoar;6;Gheorghe Fanel Bunull;Moldova;55 - 59;00:34:00
Culoar;7;Gizela Ioan Sfanta;Moldova;55 - 59;00:34:50
Culoar;8;Dumitra Pricen;Romania;30 - 34;00:35:50

Seria 4
Culoar;1;Ionel Sârghi;Romania;25 - 29;00:33:00
Culoar;2;Sulhi Demirbüken;Romania;40 - 44;00:32:50
Culoar;3;Annia Sieradzki;Poland;35 - 39;00:32:50
Culoar;4;Ovidiu Radu;Romania;40 - 44;00:32:00
Culoar;5;Ion Bon Ton;Moldova;55 - 59;00:32:00
Culoar;6;Sebi Stanescu;Romania;40 - 44;00:32:50
Culoar;7;Peter Larsson;Sweden;50 - 54;00:32:50
Culoar;8;Rafael Swinburne;England;25 - 29;00:33:00

Seria 5
Culoar;1;Cezara Zamfira Stricata;Moldova;55 - 59;00:31:50
Culoar;2;Mario Marasescu;Romania;30 - 34;00:31:18
Culoar;3;Aleodor Craciun;Romania;40 - 44;00:30:50
Culoar;4;Jan Mesesan;Romania;40 - 44;00:30:40
Culoar;5;Mihaela Duma;Romania;35 - 39;00:30:50
Culoar;6;Aurel Ciorea;Romania;45 - 49;00:31:00
Culoar;7;Pierra Piela;Belgium;35 - 39;00:31:50
Culoar;8;Cristian-Ionel Talianu;Romania;30 - 34;00:32:00

Seria 6
Culoar;1;Pierre-Éric Piel;Belgium;35 - 39;00:30:21
Culoar;2;Dumitru Pricope;Romania;30 - 34;00:30:00
Culoar;3;Stefana Stanca;Romania;40 - 44;00:29:00
Culoar;4;Maroš Vršan;Slovenia;45 - 49;00:27:00
Culoar;5;Zara Larisa;Sweden;50 - 54;00:28:00
Culoar;6;Jamina Roberts;Sweden;50 - 54;00:29:00
Culoar;7;Ana Paste;Romania;40 - 44;00:30:00
Culoar;8;Anatol Burlacu;Romania;30 - 34;00:30:38

