
Proba Proba 1 - 50 Meters freestyle M

Seria 1
Culoar;1;Klow;Timisoara;30 - 34;00:40:00
Culoar;2;Lups;Timisoara;30 - 34;00:37:00
Culoar;3;Jonn;Timisoara;35 - 39;00:36:00
Culoar;4;Lppo;Timisoara;35 - 39;00:36:38
Culoar;5;Adis;Timisoara;30 - 34;00:37:19
Culoar;6;;;;00:00:00

Seria 2
Culoar;1;Fard;Timisoara;30 - 34;00:33:66
Culoar;2;Rils;Timisoara;30 - 34;00:31:54
Culoar;3;Titt;Timisoara;35 - 39;00:31:25
Culoar;4;Roly;Timisoara;30 - 34;00:31:45
Culoar;5;Bozz;Timisoara;35 - 39;00:33:25
Culoar;6;;;;00:00:00

Seria 3
Culoar;1;Tuwa;Timisoara;35 - 39;00:30:51
Culoar;2;Gigo;Timisoara;30 - 34;00:29:81
Culoar;3;Blis;Timisoara;30 - 34;00:28:75
Culoar;4;Tree;Timisoara;35 - 39;00:29:38
Culoar;5;Bees;Timisoara;35 - 39;00:30:25
Culoar;6;;;;00:00:00

