
Proba 50 liber

Seria 1
Culoar;1;;;;00:00:00
Culoar;2;;;;00:00:00
Culoar;3;Adi;Timisoara;35 - 39;00:39:24
Culoar;4;Gurney;Timisoara;50 - 54;00:36:25
Culoar;5;Hallek;Timisoara;40 - 44;00:39:16
Culoar;6;;;;00:00:00
Culoar;7;;;;00:00:00
Culoar;8;;;;00:00:00

Seria 2
Culoar;1;Atreides;Timisoara;45 - 49;00:32:33
Culoar;2;Xulescu;Timisoara;35 - 39;00:31:31
Culoar;3;Bovo;Timisoara;65 - 69;00:30:19
Culoar;4;Aryn;Timisoara;35 - 39;00:28:22
Culoar;5;Cezar;Timisoara;25 - 29;00:29:44
Culoar;6;Harkkonen;Timisoara;25 - 29;00:30:73
Culoar;7;Roly;Timisoara;25 - 29;00:31:40
Culoar;8;Jojo;Timisoara;50 - 54;00:33:18

